surface observations;Parameter description;cloud_cover_total;daily_mean_of_temperature_previous_day;depth_of_new_snow;dew_point_temperature_at_2_meter_above_ground;diffuse_solar_radiation_last_hour;direct_solar_radiation_last_24_hours;direct_solar_radiation_last_hour;dry_bulb_temperature_at_2_meter_above_ground;evaporation/evapotranspiration_last_24_hours;global_radiation_last_hour;global_radiation_past_24_hours;height_of_base_of_lowest_cloud_above_station;horizontal_visibility;maximum_of_10_minutes_mean_of_wind_speed_for_previous_day;maximum_of_temperature_for_previous_day;maximum_temperature_last_12_hours_2_meters_above_ground;maximum_wind_speed_as_10_minutes_mean_during_last_hour;maximum_wind_speed_during_last_6_hours;maximum_wind_speed_for_previous_day;maximum_wind_speed_last_hour;mean_wind_direction_during_last_10 min_at_10_meters_above_ground;mean_wind_speed_during last_10_min_at_10_meters_above_ground;minimum_of_temperature_at_5_cm_above_ground_for_previous_day;minimum_of_temperature_for_previous_day;minimum_temperature_last_12_hours_2_meters_above_ground;minimum_temperature_last_12_hours_5_cm_above_ground;past_weather_1;past_weather_2;precipitation_amount_last_24_hours;precipitation_amount_last_3_hours;precipitation_amount_last_6_hours;precipitation_amount_last_hour;precipitation_last_12_hours;present_weather;pressure_reduced_to_mean_sea_level;relative_humidity;sea/water_temperature;temperature_at_5_cm_above_ground;total_snow_depth;total_time_of_sunshine_during_last_hour;total_time_of_sunshine_past_day
10444;Unit;%;Grad C;cm;Grad C;W/m2;W/m2;W/m2;Grad C;mm;W/m2;W/m2;m;km;km/h;Grad C;Grad C;km/h;km/h;km/h;km/h;Grad;km/h;Grad C;Grad C;Grad C;Grad C;CODE_TABLE;CODE_TABLE;mm;mm;mm;mm;mm;CODE_TABLE;hPa;%;Grad C;Grad C;cm;min;h
Datum;Uhrzeit (UTC);Wolkenbedeckung;mittlere Temperatur (vergangener Tag, 2m);Neuschneehoehe;Taupunkttemperatur (2m);Diffuse Strahlung (letzte Stunde);Direkte Strahlung (vergangene 24 Stunden);Direkte Strahlung (letzte Stunde);Temperatur (2m);Evaporation (vergangene 24 Stunden);Globalstrahlung (letzte Stunde);Globalstrahlung (vergangene 24 Stunden);Wolkenuntergrenze;Sichtweite;Maximalwind (vergangener Tag);Maximumtemperatur (vergangener Tag, 2m);Maximumtemperatur (letzte 12 Stunden, 2m);Maximalwind (letzte Stunde);Windboen (letzte 6 Stunden);Windboen (vergangener Tag);Windboen (letzte Stunde);Windrichtung;Windgeschwindigkeit;Minimumtemperatur (vergangener Tag, 5cm);Minimumtemperatur (vergangener Tag, 2m);Minimumtemperatur (letzte 12 Stunden, 2m);Minimumtemperatur (letzte 12 Stunden, 5cm);vergangenes Wetter 1;vergangenes Wetter 2;Niederschlag (letzte 24 Stunden);Niederschlag (letzte 3 Stunden);Niederschlag (letzte 6 Stunden);Niederschlag (letzte Stunde);Niederschlag (letzte 12 Stunden);aktuelles Wetter;Druck (auf Meereshoehe);Relative Feuchte;Wassertemperatur;Temperatur (5cm);Schneehoehe;Sonnenscheindauer (letzte Stunde);Sonnenscheindauer (vergangener Tag)
08.02.22;09:00;100;---;---;3,1;36;---;---;5,5;---;36;---;580;56,8;---;---;---;21;---;---;30;220;15;---;---;2,9;1;15;10;---;0;---;0;---;7;1025,9;85;---;5,4;0;0;---
08.02.22;08:00;100;---;---;2,8;4;---;---;5,3;---;4;---;520;59;---;---;---;25;---;---;37;220;17;---;---;---;---;---;---;---;---;---;0;---;4;1025,9;84;---;4,8;0;0;---
08.02.22;07:00;88;---;---;2,6;0;---;---;4,5;---;0;---;50;27,4;---;---;---;20;---;---;31;220;20;---;---;---;---;---;---;---;---;---;0;---;7;1025,7;87;---;4,1;0;0;---
08.02.22;06:00;88;3,6;---;1,8;0;---;---;4,2;---;0;---;50;11,1;21;7,1;4,3;21;34;62;29;210;15;-0,1;0,2;2,9;0,7;16;15;0,2;0;0;0;0;8;1025,9;84;---;3,5;0;0;3,8
08.02.22;05:00;88;---;---;0,9;0;---;---;4;---;0;---;560;39;---;---;---;21;---;---;34;210;21;---;---;---;---;---;---;---;---;---;0;---;8;1025,9;80;---;3,6;0;0;---
08.02.22;04:00;100;---;---;0,2;0;---;---;4,2;---;0;---;590;41,8;---;---;---;21;---;---;32;220;18;---;---;---;---;---;---;---;---;---;0;---;8;1026,3;75;---;3,7;0;0;---
08.02.22;03:00;100;---;---;0;0;---;---;4;---;0;---;750;40,4;---;---;---;18;---;---;26;210;15;---;---;---;---;---;---;---;0;---;0;---;4;1026,3;75;---;3,5;0;0;---
08.02.22;02:00;100;---;---;-0,1;0;---;---;3,9;---;0;---;830;39,8;---;---;---;19;---;---;28;210;16;---;---;---;---;---;---;---;---;---;0;---;4;1026,9;75;---;3,3;0;0;---
08.02.22;01:00;100;---;---;-0,2;0;---;---;3,8;---;0;---;950;36,5;---;---;---;19;---;---;27;220;17;---;---;---;---;---;---;---;---;---;0;---;4;1026,9;75;---;3,2;0;0;---
08.02.22;00:00;100;---;---;-0,4;0;---;---;3,6;---;0;10;2420;37,3;21;---;---;12;32;---;17;230;10;---;---;---;---;---;---;---;0;0;0;---;4;1027;75;---;2,7;0;0;---
07.02.22;23:00;38;---;---;-0,7;0;---;---;3,1;---;0;---;3910;40,3;---;---;---;13;---;---;18;220;12;---;---;---;---;---;---;---;---;---;0;---;2;1027,1;76;---;1,4;0;0;---
07.02.22;22:00;100;---;---;-0,1;0;---;---;3,4;---;0;---;810;35,7;---;---;---;16;---;---;29;230;10;---;---;---;---;---;---;---;---;---;0;---;4;1026,9;78;---;2,1;0;0;---
07.02.22;21:00;100;---;---;0;0;---;---;3,9;---;0;---;1170;39,8;---;---;---;20;---;---;27;250;14;---;---;---;---;---;---;---;0;---;0;---;4;1026,5;76;---;2,8;0;0;---
07.02.22;20:00;100;---;---;0;0;---;---;3,9;---;0;---;930;44,6;---;---;---;21;---;---;32;260;20;---;---;---;---;---;---;---;---;---;0;---;4;1026,2;76;---;2,7;0;0;---
07.02.22;19:00;0;---;---;-0,3;0;---;---;3,2;---;0;---;---;35,2;---;---;---;19;---;---;28;270;15;---;---;---;---;---;---;---;---;---;0;---;1;1025,6;78;---;1,4;0;0;---
07.02.22;18:00;0;---;---;0,1;0;---;---;4,1;---;0;---;---;36,8;40;---;7,1;27;62;---;28;270;19;---;---;1,9;1,2;16;15;---;0;0;0;0,2;1;1024,8;75;---;2,3;0;0;---
07.02.22;17:00;75;---;---;0,1;6;---;---;4,9;---;6;---;1150;38;---;---;---;33;---;---;48;280;27;---;---;---;---;---;---;---;---;---;0;---;8;1024,1;71;---;3,8;0;0;---
07.02.22;16:00;75;---;---;0;73;---;---;6;---;111;---;1330;43,4;---;---;---;36;---;---;50;280;33;---;---;---;---;---;---;---;---;---;0;---;3;1022,9;65;---;5,2;0;40;---
07.02.22;15:00;88;---;---;-0,1;131;---;---;6,7;---;254;---;1250;39,1;---;---;---;40;---;---;62;280;32;---;---;---;---;16;15;---;0;---;0;---;8;1022;62;---;6,8;0;54;---
07.02.22;14:00;88;---;---;-0,6;156;---;---;6;---;242;---;1110;27,6;---;---;---;37;---;---;58;280;33;---;---;---;---;---;---;---;---;---;0;---;8;1021;63;---;6,1;0;35;---
07.02.22;13:00;38;---;---;0,4;170;---;---;6,4;---;311;---;1880;30,7;---;---;---;34;---;---;50;290;31;---;---;---;---;---;---;---;---;---;0;---;8;1020,6;65;---;7,5;0;36;---
07.02.22;12:00;88;---;---;0,5;204;---;---;5,8;---;351;---;990;36,1;34;---;---;34;51;---;51;290;30;---;---;---;---;16;15;---;0;0,2;0;---;4;1020,1;69;---;6,2;0;37;---
07.02.22;11:00;88;---;---;0,5;163;---;---;5,4;---;205;---;910;32,5;---;---;---;32;---;---;50;290;26;---;---;---;---;---;---;---;---;---;0;---;8;1019,5;71;---;5,2;0;13;---
07.02.22;10:00;88;---;---;1,1;126;---;---;4,5;---;146;---;770;35,8;---;---;---;26;---;---;38;290;24;---;---;---;---;---;---;---;---;---;0;---;4;1017,8;79;---;4,1;0;10;---
07.02.22;09:00;100;---;---;1,4;54;---;---;3,4;---;54;---;580;38,4;---;---;---;21;---;---;31;280;19;---;---;0,2;-0,1;16;15;---;0,2;---;0;---;8;1016,3;87;---;2,8;0;0;---
