year	mo	extent
1979	2	16.18
1980	2	15.96
1981	2	15.60
1982	2	15.97
1983	2	16.01
1984	2	15.30
1985	2	15.47
1986	2	15.78
1987	2	16.05
1988	2	15.58
1989	2	15.50
1990	2	15.58
1991	2	15.25
1992	2	15.46
1993	2	15.69
1994	2	15.56
1995	2	15.23
1996	2	15.15
1997	2	15.44
1998	2	15.75
1999	2	15.31
2000	2	15.14
2001	2	15.21
2002	2	15.34
2003	2	15.19
2004	2	14.91
2005	2	14.37
2006	2	14.32
2007	2	14.51
2008	2	14.95
2009	2	14.81
2010	2	14.58
2011	2	14.36
2012	2	14.55
2013	2	14.72
2014	2	14.42
2015	2	14.40
2016	2	14.20
2017	2	14.12
2018	2	13.97
2019	2	14.39
2020	2	14.68
